CaseId,WEIGHT,P_IMAGE1A,P_IMAGE1B,P_IMAGE2A,P_IMAGE2B,P_IMAGE3A,P_IMAGE3B,P_IMAGE4A,P_IMAGE4B,P_IMAGE5A,P_IMAGE5B,P_IMAGE6A,P_IMAGE6B,P_IMAGE7A,P_IMAGE7B,P_IMAGE8A,P_IMAGE8B,P_RELIG,P_ATTEND,P_ZIPCODE,P_CBSA,RND_00,RND_01,RND_02,RND_03,RND_04,RND_05,RND_06,RND_07,RND_08,POLADSTRUMPTEMPS4,POLAADSBIDENTEMPS4,POLADSREGULATIONS4,POLADSGLOBALWARMINGS4,MONTGOMERY1S4,MONTGOMERY2S4,MONTGOMERY3S4,MONTGOMERY4S4,MONTGOMERY5S4,MONTGOMERY6S4,MONTGOMERY7S4,MONTGOMERY8S4,PolAdsORDER1,PolAdsORDER2,PolAdsORDER3,PolAdsORDER4,PolAdsORDER5,PolAdsORDER6,PolAdsORDER7,PolAdsORDER8,POLADSTRUMP1S4,POLADSTRUMP2S4,POLADSBIDEN1S4,POLADSBIDEN2S4,POLADSEXXON1S4,POLADSEXXON2S4,POLADSPATAGONIA1S4,POLADSPATAGONIA2S4,POLADSPOWER1S4,POLADSPOWER2S4,POLADSSIERRA1S4,POLADSSIERRA2S4,POLADSCOLGATE1S4,POLADSCOLGATE2S4,POLADSMSC1S4,POLADSMSC2S4,PartyID7,IDEO1S4,QCANDI20,QPA015A,BAGAINS4,QPAC2,STARTDT,ENDDT,duration,SURV_MODE,SURV_LANG,Device,GENDER,AGE,AGE4,AGE7,RACETHNICITY,EDUC5,MARITAL,EMPLOY,INCOME,INCOME4,INCOME9,STATE,REGION4,REGION9,METRO,INTERNET,HOUSING,HOME_TYPE,PHONESERVICE,HHSIZE,HH01,HH25,HH612,HH1317,HH18OV
87,0.55122874,335,641,515,421,124,455,531,464,623,241,164,121,143,534,111,431,1,3,91360,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",1,1,0,1,1,1,0,1,1,3,3,4,3,2,2,1,2,1,2,2,1,7,5,1,3,2,6,8,4,,1,1,,,3,,3,,2,1,,,5,,4,6,2,3,4,2,1,3/31/2021 13:05,3/31/2021 13:18,13,2,1,Desktop,1,85,4,7,1,5,1,5,9,2,5,CA,4,9,1,1,1,1,2,2,0,0,0,0,2
88,0.32164790,132,545,224,512,312,121,624,643,351,315,214,243,235,143,122,641,3,8,30044,"Atlanta-Sandy Springs-Alpharetta, GA Metro Are",0,1,0,0,0,0,1,1,1,1,5,4,3,1,1,2,1,2,1,1,1,2,4,8,3,7,6,5,1,,3,2,,2,,2,,1,,,2,,5,,5,3,3,2,3,2,1,3/31/2021 10:17,3/31/2021 11:14,16,2,1,Smartphone,2,30,2,2,1,4,1,7,11,3,6,GA,3,5,1,1,1,1,2,4,0,1,0,0,3
101,1.25735857,235,365,523,412,232,211,635,342,442,261,133,135,123,542,664,354,2,1,1940,"Boston-Cambridge-Newton, MA-NH Metro Area",0,0,1,0,0,1,1,0,0,5,3,4,2,2,1,1,2,1,1,1,1,6,7,3,5,1,2,4,8,1,,,1,2,,1,,,2,,2,2,,1,,4,4,1,2,2,1,3/31/2021 11:50,3/31/2021 11:54,4,2,1,Smartphone,1,53,3,4,1,3,2,7,14,4,8,MA,1,1,1,1,1,1,4,3,0,0,0,0,3
104,0.54460881,221,613,165,421,512,653,265,423,134,133,213,645,462,435,222,555,12,1,53227,"Milwaukee-Waukesha, WI Metro Area",0,1,1,0,0,0,1,0,0,2,4,1,1,2,1,2,1,1,2,2,2,1,8,4,3,6,7,2,5,,4,,2,1,,2,,1,,,2,3,,3,,4,4,4,1,2,1,4/1/2021 9:19,4/1/2021 9:26,7,2,1,Smartphone,1,34,2,2,1,3,1,1,10,2,6,WI,2,3,1,1,2,1,4,3,0,0,0,0,1
108,0.72070859,231,414,234,665,355,543,115,432,335,645,555,133,421,414,662,525,2,3,70447,"New Orleans-Metairie, LA Metro Area",0,1,1,0,0,0,1,0,0,1,5,2,1,2,1,2,1,1,2,1,1,6,4,3,8,1,7,5,2,,3,,4,2,,1,,1,,,2,4,,2,,2,3,2,1,2,1,3/31/2021 12:04,3/31/2021 12:10,6,2,1,Smartphone,2,39,2,3,1,5,3,1,14,4,8,LA,3,7,1,1,1,1,2,2,0,0,0,0,2
109,1.13119551,251,143,265,465,155,655,643,451,543,225,464,133,455,462,615,214,2,4,46205,"Indianapolis-Carmel-Anderson, IN Metro Area",0,0,1,1,1,1,1,0,0,5,1,4,1,1,1,1,1,2,2,2,2,6,3,2,5,4,8,1,7,1,,,1,,5,,5,,3,,4,4,,2,,5,4,4,4,1,1,4/2/2021 12:35,4/3/2021 7:46,5,2,1,Smartphone,1,38,2,3,1,2,1,1,9,2,5,IN,2,3,1,1,2,1,2,3,0,0,0,0,3
110,0.34080347,331,433,152,633,414,511,123,621,143,215,352,441,612,125,365,563,13,1,89103,"Las Vegas-Henderson-Paradise, NV Metro Area",0,1,0,1,1,1,1,1,1,1,6,1,3,1,1,1,1,1,1,2,2,8,7,1,2,5,3,4,6,,2,5,,,3,,4,,2,,3,,5,,5,1,2,2,4,2,1,4/2/2021 18:33,4/2/2021 18:56,23,2,1,Desktop,1,74,4,6,1,3,6,1,8,2,4,NV,4,8,1,1,1,3,4,2,0,0,0,0,2
113,2.38493090,624,244,433,662,623,544,221,554,154,151,315,231,663,645,264,315,1,9,77705,"Beaumont-Port Arthur, TX Metro Area",1,0,0,0,0,0,0,1,1,1,7,4,3,1,1,1,1,1,1,2,2,5,1,2,4,6,7,3,8,1,,5,,3,,3,,1,,1,,,5,,5,1,2,2,1,1,1,3/31/2021 21:28,3/31/2021 21:41,13,2,1,Smartphone,2,72,4,6,2,5,2,5,9,2,5,TX,3,7,1,1,1,1,1,1,0,0,0,0,1
115,1.01519779,651,341,525,334,515,411,555,651,365,121,652,662,364,344,235,534,12,4,30605,"Athens-Clarke County, GA Metro Area",0,1,0,0,1,1,0,0,0,1,5,3,1,2,1,1,2,2,1,2,1,1,3,6,7,4,8,5,2,,2,2,,4,,,3,,3,2,,4,,3,,2,3,2,4,2,1,3/31/2021 11:54,3/31/2021 12:00,6,2,1,Smartphone,2,27,1,2,1,4,1,1,9,2,5,GA,3,5,1,1,2,3,4,2,0,0,0,0,2
117,0.75823754,161,512,344,342,552,455,215,161,211,614,341,633,345,222,543,332,14,1,19320,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Me",0,0,0,1,0,1,0,1,1,1,1,1,3,2,1,1,1,2,1,2,2,6,1,4,2,7,3,5,8,5,,1,,,5,5,,,5,4,,,5,,5,3,1,2,1,2,1,3/31/2021 13:57,3/31/2021 14:08,12,2,1,Desktop,1,34,2,2,2,4,5,6,3,1,2,PA,1,2,1,0,2,2,4,1,0,0,0,0,1
120,2.30672324,512,545,262,464,321,545,165,262,134,663,333,632,545,665,162,434,11,2,97008,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",1,0,1,1,0,0,1,1,1,5,2,5,3,2,2,1,2,2,1,1,2,5,2,8,6,1,3,7,4,3,,,2,,3,2,,3,,,2,,5,,3,5,2,1,2,2,1,3/31/2021 13:25,3/31/2021 13:38,13,2,1,Desktop,2,58,3,5,1,2,3,1,10,2,6,OR,4,9,1,1,1,1,4,1,0,0,0,0,1
122,1.52372657,344,611,541,415,612,211,114,463,165,442,135,643,522,642,145,314,1,8,22960,,0,0,0,0,0,1,1,0,1,7,1,7,3,1,1,2,2,2,2,2,2,2,5,3,4,8,6,1,7,5,,1,,5,,1,,,5,,1,5,,,5,7,7,1,2,1,1,4/18/2021 18:49,4/18/2021 19:09,21,2,1,Smartphone,1,65,4,6,1,2,1,5,13,3,7,VA,3,5,0,1,1,1,2,2,0,0,0,0,1
123,0.67491584,545,322,464,311,414,633,652,622,143,343,644,563,553,234,361,524,10,3,93063,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",0,1,1,1,0,1,1,0,1,1,5,3,1,2,1,1,2,2,1,1,2,7,1,6,2,5,4,3,8,,2,,2,,4,1,,,3,,4,4,,,4,3,2,2,1,2,1,3/31/2021 20:23,3/31/2021 20:29,6,2,1,Smartphone,1,31,2,2,1,3,5,1,18,4,9,CA,4,9,1,0,2,1,2,4,0,0,0,0,1
124,0.37103937,664,531,332,243,522,251,622,241,142,615,123,343,234,631,611,411,1,3,28401,"Wilmington, NC Metro Area",0,0,1,1,0,0,0,0,1,1,7,3,1,2,1,1,2,1,1,1,2,6,8,3,2,7,1,4,5,1,,,1,,2,1,,1,,1,,1,,,3,2,2,2,1,2,1,4/16/2021 9:46,4/16/2021 10:59,15,2,1,Desktop,1,66,4,6,2,3,3,5,9,2,5,NC,3,5,1,1,1,1,4,2,0,0,0,0,2
125,0.72661916,455,614,623,533,662,162,455,242,642,112,511,633,522,454,223,221,1,8,55901,"Rochester, MN Metro Area",1,1,0,1,0,1,1,0,1,5,3,5,3,2,1,1,2,2,1,1,1,6,7,3,1,5,2,8,4,,4,1,,,3,1,,,3,,2,5,,,5,6,6,1,2,2,1,3/31/2021 11:06,3/31/2021 11:12,6,2,1,Desktop,1,32,2,2,1,4,1,1,14,4,8,MN,2,4,1,1,1,1,4,2,0,0,0,0,2
129,1.28407227,335,432,531,664,224,535,364,363,564,631,123,135,124,645,261,464,7,6,23665,"Virginia Beach-Norfolk-Newport News, VA-NC Met",0,0,1,1,1,0,1,1,1,2,5,2,1,2,2,1,2,1,1,1,2,2,3,5,1,6,4,7,8,1,,,3,,2,,5,2,,,5,,5,,5,5,2,2,1,2,1,3/31/2021 16:27,3/31/2021 16:40,13,2,1,Desktop,1,78,4,7,1,5,1,2,18,4,9,VA,3,5,1,1,1,2,4,2,0,0,0,0,2
132,0.50701560,113,624,424,535,511,452,514,265,135,143,111,461,364,462,532,335,1,6,38017,"Memphis, TN-MS-AR Metro Area",0,0,1,0,0,1,0,0,0,7,1,7,3,2,1,2,2,2,2,1,1,6,3,7,8,4,5,2,1,2,,,2,1,,3,,,3,1,,4,,4,,7,6,1,2,1,1,4/14/2021 14:41,4/14/2021 14:59,22,2,1,Desktop,2,94,4,7,1,3,3,5,13,3,7,TN,3,6,1,1,1,1,2,1,0,0,0,0,1
134,2.81505933,122,265,363,225,541,621,522,631,633,352,223,511,543,311,152,523,12,3,65616,"Branson, MO Micro Area",0,1,1,0,1,0,0,1,1,1,7,3,1,1,2,2,1,1,2,2,1,1,7,8,5,2,3,6,4,,2,,3,2,,,3,1,,2,,,5,,5,2,8,2,4,2,1,3/31/2021 16:56,4/3/2021 11:23,5,2,1,Smartphone,2,27,1,2,1,2,1,7,7,2,4,MO,2,4,0,1,2,3,4,5,0,0,0,0,3
138,0.86421684,611,132,351,345,161,214,662,355,155,364,652,454,421,134,623,563,11,2,28376,"Fayetteville, NC Metro Area",0,1,1,0,0,0,0,0,1,2,5,1,3,1,2,2,2,1,1,1,1,1,5,3,6,8,2,4,7,,2,,2,3,,2,,1,,1,,5,,,4,4,3,2,3,2,1,4/4/2021 8:50,4/4/2021 8:54,4,2,1,Smartphone,2,31,2,2,1,5,1,1,7,2,4,NC,3,5,1,1,2,1,4,2,0,0,0,0,2
140,0.46126199,135,352,321,353,631,244,512,335,622,243,541,362,434,553,631,432,1,8,17003,"Lebanon, PA Metro Area",1,1,0,1,1,0,1,1,0,3,5,3,1,1,1,2,1,1,1,1,2,1,6,5,4,2,8,3,7,,4,1,,,4,,5,2,,,5,,5,2,,5,5,4,1,1,1,3/31/2021 12:38,3/31/2021 12:43,6,2,1,Smartphone,2,34,2,2,1,4,1,1,14,4,8,PA,1,2,1,1,1,1,4,4,0,0,0,0,1
142,0.19304215,632,411,115,353,665,233,132,425,462,412,621,443,535,432,453,311,9,1,29418,"Charleston-North Charleston, SC Metro Area",1,0,0,0,0,1,0,0,0,1,4,1,1,2,1,2,1,2,1,1,2,5,3,1,8,4,7,2,6,1,,1,,1,,4,,,2,4,,4,,2,,5,1,2,3,2,1,3/31/2021 17:35,3/31/2021 17:43,8,2,1,Smartphone,1,33,2,2,3,3,1,1,10,2,6,SC,3,5,1,1,2,3,4,2,0,0,0,0,2
146,0.32428288,112,332,633,554,131,142,125,634,114,445,431,661,124,121,642,113,2,4,6239,"Worcester, MA-CT Metro Area",1,0,0,1,0,1,1,1,1,1,6,2,1,1,2,2,1,1,1,1,2,2,1,6,8,4,7,5,3,1,,2,,,4,1,,,2,,4,,5,,5,1,5,2,1,2,1,3/31/2021 11:54,3/31/2021 12:03,10,2,1,Desktop,2,47,3,4,1,4,3,1,15,4,8,CT,1,1,1,1,2,1,4,5,0,0,0,2,2
150,1.34237354,325,122,443,655,542,332,654,432,625,145,353,363,265,234,511,114,,,57013,"Sioux Falls, SD Metro Area",1,1,0,0,0,1,1,0,1,5,2,5,2,2,1,2,1,2,1,1,2,2,7,4,1,8,5,3,6,,3,1,,2,,2,,,2,,1,5,,,4,7,6,4,4,1,1,3/31/2021 21:55,3/31/2021 21:59,4,2,1,Smartphone,1,18,1,1,1,2,5,4,16,4,9,SD,2,4,1,1,1,1,4,6,0,0,0,2,4
151,1.12792420,231,615,525,144,353,153,312,615,562,415,561,155,341,154,261,553,12,5,6475,"Hartford-East Hartford-Middletown, CT Metro Ar",0,0,1,1,1,1,1,0,0,1,4,4,1,1,2,2,1,1,2,1,1,5,3,2,4,6,7,1,8,3,,,3,,3,,3,,3,,3,4,,3,,5,2,3,3,2,1,3/31/2021 13:46,3/31/2021 13:49,3,2,1,Smartphone,1,41,2,3,2,2,5,1,9,2,5,CT,1,1,1,1,1,3,2,3,0,0,0,0,3
155,0.61689159,665,312,414,361,142,415,653,122,235,525,315,143,564,611,563,452,11,1,54751,"Menomonie, WI Micro Area",0,1,1,1,0,0,1,1,0,1,7,1,1,2,1,1,2,1,2,2,1,3,6,4,7,2,5,1,8,,1,,1,,2,3,,1,,,2,,5,2,,1,1,2,1,2,1,3/31/2021 14:53,3/31/2021 14:58,6,2,1,Desktop,1,53,3,4,1,4,1,2,13,3,7,WI,2,3,0,1,1,1,2,2,0,0,0,0,2
160,0.80246813,111,154,342,364,311,345,445,161,641,113,652,265,335,514,364,521,10,1,99019,"Spokane-Spokane Valley, WA Metro Area",1,1,0,0,1,1,0,0,1,1,6,2,1,1,2,1,1,2,2,2,2,2,5,4,8,1,6,3,7,,1,1,,2,,,3,,1,1,,5,,,5,3,4,2,3,2,1,3/31/2021 11:10,3/31/2021 11:17,8,2,1,Desktop,1,70,4,6,1,3,4,2,17,4,9,WA,4,9,1,1,1,2,2,2,0,0,0,0,2
161,0.28488628,452,542,652,435,351,344,315,344,255,252,541,265,334,533,412,242,1,9,63068,"St. Louis, MO-IL Metro Area",1,1,1,0,1,0,0,0,1,7,1,7,2,2,2,2,1,1,1,1,1,1,7,3,2,6,5,4,8,,4,,1,5,,,5,3,,1,,5,,,5,7,6,1,2,1,1,3/31/2021 10:49,3/31/2021 11:08,19,2,1,Smartphone,2,62,4,5,1,4,4,1,12,3,7,MO,2,4,1,0,2,1,4,3,0,0,0,0,3
162,0.51723247,252,643,414,141,513,435,152,662,162,445,151,244,633,533,662,164,7,4,19953,"Dover, DE Metro Area",0,0,1,1,0,0,1,1,1,7,1,7,2,1,2,1,1,1,2,1,2,5,3,6,8,1,7,2,4,1,,,1,,4,2,,1,,,3,,5,,5,7,4,1,2,2,1,3/31/2021 13:44,3/31/2021 13:53,9,2,1,Desktop,1,67,4,6,1,3,3,2,1,1,1,DE,3,5,1,0,1,1,4,1,0,0,0,0,1
166,0.26246899,535,634,533,361,412,655,334,353,545,224,112,453,241,264,551,621,11,2,92563,"Riverside-San Bernardino-Ontario, CA Metro Are",0,1,1,0,1,0,1,0,0,5,2,5,1,1,2,1,2,2,2,1,2,8,7,1,4,6,2,5,3,,4,,3,3,,,5,2,,,5,5,,4,,3,5,1,4,2,1,4/4/2021 15:04,4/4/2021 15:15,12,2,1,Desktop,1,66,4,6,1,3,4,5,9,2,5,CA,4,9,1,1,2,1,4,2,0,0,0,0,2
168,0.40467887,531,512,261,425,222,533,611,612,543,621,645,261,112,231,523,535,12,4,67110,"Wichita, KS Metro Area",0,0,1,0,0,0,0,0,0,5,2,3,1,2,2,1,2,2,1,1,1,4,3,7,8,2,6,1,5,1,,,3,2,,3,,3,,5,,5,,1,,6,5,1,2,2,1,4/1/2021 18:16,4/1/2021 18:32,16,2,1,Smartphone,2,56,3,5,1,3,4,1,9,2,5,KS,2,4,1,1,2,1,4,2,0,0,0,0,2
169,0.87118371,224,114,325,215,533,351,133,215,621,164,165,242,243,345,442,253,2,5,48328,"Detroit-Warren-Dearborn, MI Metro Area",0,1,0,0,0,0,0,1,1,1,7,2,1,2,2,1,2,1,2,1,1,3,1,5,4,6,2,7,8,,1,2,,4,,2,,1,,2,,,5,,5,3,4,2,1,2,1,3/31/2021 17:32,3/31/2021 17:38,7,2,1,Desktop,2,54,3,4,1,4,3,1,13,3,7,MI,2,3,1,1,1,2,4,1,0,0,0,0,1
171,1.64205183,351,664,313,622,134,432,162,123,311,252,362,345,234,265,161,564,14,2,33760,"Tampa-St. Petersburg-Clearwater, FL Metro Area",1,0,1,0,1,1,0,1,0,7,1,7,2,1,2,2,2,2,2,1,2,8,5,6,1,2,3,7,4,3,,,1,5,,,5,,5,4,,,5,4,,7,6,1,2,1,1,3/31/2021 15:49,3/31/2021 16:00,12,2,1,Smartphone,2,62,4,5,1,2,4,5,3,1,2,FL,3,5,1,0,2,1,4,4,0,0,1,0,3
181,1.46692260,341,443,225,124,665,141,652,641,235,342,143,564,611,161,151,224,2,2,60647,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",0,0,0,0,0,0,0,1,0,1,7,1,1,2,2,2,1,2,1,2,1,8,7,2,3,1,5,4,6,1,,1,,1,,3,,3,,1,,,5,1,,2,3,2,1,2,1,4/1/2021 0:03,4/1/2021 0:09,6,2,1,Smartphone,1,59,3,5,1,4,5,1,15,4,8,IL,2,3,1,1,1,3,4,1,0,0,0,0,1
186,1.44389820,444,214,324,352,314,623,154,112,222,354,651,461,555,413,533,451,1,8,93449,"San Luis Obispo-Paso Robles, CA Metro Area",0,1,1,1,1,0,0,1,0,2,5,3,1,2,1,2,2,1,1,2,1,4,1,6,7,8,2,3,5,,2,,3,,3,,4,2,,2,,,5,4,,2,3,2,1,2,1,3/31/2021 13:26,3/31/2021 13:31,6,2,1,Smartphone,1,51,3,4,1,4,1,1,18,4,9,CA,4,9,1,1,1,1,2,3,0,0,0,1,2
199,0.19417326,111,465,635,433,451,263,343,165,361,532,313,622,333,163,652,512,11,2,65202,"Columbia, MO Metro Area",1,1,0,0,0,0,1,0,0,1,6,3,1,1,2,2,1,2,1,2,2,3,8,7,2,6,4,5,1,,4,2,,3,,2,,2,,,3,5,,3,,2,1,2,1,2,1,4/1/2021 6:43,4/1/2021 6:48,6,2,1,Smartphone,2,31,2,2,1,4,5,1,9,2,5,MO,2,4,1,1,1,1,4,1,0,0,0,0,1
200,1.21241140,434,412,333,451,634,243,522,441,165,653,155,645,562,515,215,424,5,3,20008,"Washington-Arlington-Alexandria, DC-VA-MD-WV M",0,0,0,0,1,1,0,1,1,1,5,4,1,2,1,2,1,1,2,2,2,4,5,1,8,6,3,7,2,1,,2,,3,,,3,,3,2,,,5,,5,2,4,2,1,2,1,4/9/2021 15:29,4/9/2021 15:34,5,2,1,Desktop,1,59,3,5,1,5,1,1,18,4,9,DC,3,5,1,1,1,1,4,4,0,0,0,1,3
202,1.32708958,611,213,623,515,125,434,465,163,243,144,165,653,512,644,452,254,2,7,92399,"Riverside-San Bernardino-Ontario, CA Metro Are",1,0,0,0,1,0,0,0,1,1,7,4,1,2,1,1,2,2,1,1,2,3,5,6,4,2,1,8,7,1,,1,,3,,,5,2,,2,,5,,,5,1,8,2,1,2,1,3/31/2021 10:13,3/31/2021 10:22,10,2,1,Desktop,2,77,4,7,1,2,5,5,6,1,3,CA,4,9,1,1,1,4,3,1,0,0,0,0,1
204,0.61793494,664,654,162,541,211,564,444,612,253,632,261,231,512,233,442,155,1,5,80538,"Fort Collins, CO Metro Area",1,0,0,0,0,1,0,1,0,7,1,7,2,2,2,1,1,1,1,2,1,2,6,5,3,7,8,1,4,3,,1,,3,,1,,,3,1,,,5,3,,4,4,1,2,1,1,4/1/2021 0:15,4/1/2021 0:25,10,2,1,Desktop,2,82,4,7,1,3,1,5,9,2,5,CO,4,8,1,1,1,1,3,2,0,0,0,0,2
207,0.61396295,413,353,545,315,165,623,311,533,552,525,165,113,215,613,244,232,2,3,48336,"Detroit-Warren-Dearborn, MI Metro Area",1,0,0,1,0,1,0,1,1,6,5,6,3,1,2,2,1,2,2,1,2,8,1,5,4,3,6,7,2,2,,2,,,4,3,,,3,3,,,5,,5,2,3,1,2,2,1,3/31/2021 17:07,3/31/2021 17:22,16,2,1,Desktop,2,67,4,6,1,3,5,5,11,3,6,MI,2,3,1,1,1,1,3,2,0,0,0,0,2
