StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,message1,message2,message3,AttentionCheck1,message4,Message5,Message6,regulations,GlobalWarming,TrumpHigh,AttentionCheck2,TrumpLow,BidenLow,ExxonHigh,ExxonLow,BidenHigh,MSCHigh,MSCLow,SierraHigh,SierraLow,colgateHigh,ColgateLow,patagoniaHigh,PatagoniaLow,powerthefutureHigh,PowerTheFutureLow,TrumpTemp,BidenTemp,comment,political_affiliat,political_affiliat_4_TEXT,polparty,age,gender,gender_3_TEXT,state_1,EndComments,Random ID,Create New Field or Choose From Dropdown...
7/25/2022 16:52,7/25/2022 16:58,IP Address,68.63.20.185,100,343,TRUE,7/25/2022 16:58,R_3QMeDVU53o3vrdg,,,,,30.4908,-84.3158,anonymous,EN,Extremely political,Extremely political,Extremely political,Slightly Political,Very political,Very political,Somewhat political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,,,Extremely political,,Very political,,Extremely political,Extremely political,,Extremely political,Somewhat political,Slightly political,,Extremely political,Slightly political,,,0,2,No,Weak Democrat,,,35 to 44 years old,Male,,Florida,,48678,
7/25/2022 16:59,7/25/2022 17:04,IP Address,70.170.38.174,100,274,TRUE,7/25/2022 17:04,R_31tQbNxhVRczUW3,,,,,36.2468,-115.2182,anonymous,EN,Somewhat political,Very political,Slightly political,Slightly Political,Very political,Somewhat political,Somewhat political,2,Mostly by human activity,,Slightly political,Slightly political,,Slightly political,Not at all political,Very political,Somewhat political,Not at all political,,,,,,Not at all political,,Somewhat political,0,4,no,Independent,,,25 to 34 years old,Male,,Nevada,none,41642,
7/25/2022 16:44,7/25/2022 17:10,IP Address,38.131.234.138,100,1547,TRUE,7/25/2022 17:10,R_2to2guxFikgNIVg,,,,,42.2314,-83.6344,anonymous,EN,Extremely political,Extremely political,Somewhat political,Slightly Political,Very political,Slightly political,Slightly political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,Extremely political,,,Extremely political,,,,Somewhat political,Not at all political,Extremely political,,Slightly political,,Extremely political,Not at all political,Extremely political,,2,6,Nope!,Independent,,,35 to 44 years old,Female,,Michigan,,48793,
7/25/2022 17:12,7/25/2022 17:18,IP Address,24.38.255.173,100,328,TRUE,7/25/2022 17:18,R_3gOrMnk2NX7NSUs,,,,,40.6462,-73.9559,anonymous,EN,Extremely political,Very political,Slightly political,Slightly Political,Slightly political,Somewhat political,Slightly political,3,Mostly by natural causes,,Extremely political,,Very political,Very political,,Extremely political,,,Extremely political,Slightly political,,Not at all political,,,Extremely political,Very  political,4,0,"There was an earlier ad that only contained a red screen, that was strange.",Independent,,,35 to 44 years old,Male,,New York,"Good, enjoyable survey task. Thanks!",86698,
7/25/2022 17:14,7/25/2022 17:19,IP Address,98.28.81.34,100,325,TRUE,7/25/2022 17:19,R_1obFhq846j82kmw,,,,,41.4732,-84.5594,anonymous,EN,Extremely political,Extremely political,Somewhat political,Slightly Political,Somewhat political,Somewhat political,Slightly political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,,,,Somewhat political,,,Very political,,Not at all political,Very political,Slightly political,Not at all political,Not at all political,Extremely political,,Extremely political,,0,7,no,Strong Democrat,,,55 to 64 years old,Female,,Ohio,,24901,
7/25/2022 16:56,7/25/2022 17:24,IP Address,131.106.53.170,100,1687,TRUE,7/25/2022 17:24,R_1NfrRsXpdDbWUEt,,,,,40.595,-75.5289,anonymous,EN,Very political,Very political,Somewhat political,Slightly Political,Somewhat political,Somewhat political,Somewhat political,3,Mostly by human activity,,Slightly political,Extremely political,Extremely political,Somewhat political,,,,Not at all political,Extremely political,,Somewhat political,Not at all political,Very political,,,,1,9,None,Weak Democrat,,,35 to 44 years old,Male,,Pennsylvania,,47906,
7/25/2022 17:00,7/25/2022 17:24,IP Address,96.241.105.124,100,1431,TRUE,7/25/2022 17:24,R_3sAiCH5YXyOaQA0,,,,,38.7481,-77.2383,anonymous,EN,Not at all political,Extremely political,Not at all political,Slightly Political,Extremely political,Not at all political,Not at all political,7. No regulation because it will not work and will cost jobs,Mostly by natural causes,Extremely political,Slightly political,,Extremely political,,Somewhat political,,Not at all political,,Not at all political,,,Not at all political,,Not at all political,,Extremely political,10,0,,Strong Republican,,Republican Party,18 to 24 years old,Male,,Virginia,,97198,
7/25/2022 17:41,7/25/2022 17:46,IP Address,47.208.75.161,100,286,TRUE,7/25/2022 17:46,R_31HuKCFoMAZfyjN,,,,,40.7977,-124.1565,anonymous,EN,Very political,Very political,Slightly political,Slightly Political,Not at all political,Not at all political,Not at all political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,Extremely political,Slightly political,,Not at all political,,,,Not at all political,,Slightly political,,,Not at all political,,Not at all political,Extremely political,Extremely political,0,3,Not really.,Strong Democrat,,,45 to 54 years old,Male,,California,,57395,
7/25/2022 17:55,7/25/2022 18:00,IP Address,159.118.130.240,100,310,TRUE,7/25/2022 18:00,R_3hASU0D80i0pQVx,,,,,34.4958,-112.3783,anonymous,EN,Very political,Extremely political,Slightly political,Slightly Political,Very political,Somewhat political,Not at all political,7. No regulation because it will not work and will cost jobs,Mostly by human activity,Extremely political,,Very political,Very political,Somewhat political,Not at all political,Extremely political,Very political,,,,,,Extremely political,,Extremely political,,5,1,no,Weak Republican,,,25 to 34 years old,Male,,Arizona,,24925,
7/25/2022 17:37,7/25/2022 18:09,IP Address,68.36.219.215,100,1908,TRUE,7/25/2022 18:09,R_2ePt4Ndlb0eWLVM,,,,,42.4257,-83.1522,anonymous,EN,Very political,Extremely political,Somewhat political,Slightly Political,Somewhat political,Somewhat political,Slightly political,3,Equally by human activity and natural causes,,,,,Very political,Slightly political,,,Not at all political,Somewhat political,Somewhat political,Slightly political,,Very political,Not at all political,,Very  political,0,6,No,Strong Democrat,,,35 to 44 years old,Female,,Michigan,,46506,
7/25/2022 18:02,7/25/2022 18:11,IP Address,76.120.190.164,100,519,TRUE,7/25/2022 18:11,R_b2z2svvEq95RRHX,,,,,40.1678,-80.2591,anonymous,EN,Very political,Extremely political,Very political,Slightly Political,Very political,Somewhat political,Somewhat political,2,Mostly by human activity,,Very political,Very political,,,,Extremely political,,Not at all political,Extremely political,Very political,,Not at all political,,,Very  political,Extremely political,0,8,No,Strong Democrat,,,55 to 64 years old,Male,,Pennsylvania,,20174,
7/25/2022 18:11,7/25/2022 18:18,IP Address,45.24.66.214,100,444,TRUE,7/25/2022 18:18,R_yjBJUki1lNizUNr,,,,,32.7691,-96.6053,anonymous,EN,Very political,Extremely political,Somewhat political,Slightly Political,Somewhat political,Slightly political,Slightly political,3,Mostly by human activity,,Slightly political,Slightly political,,,Slightly political,Extremely political,,Not at all political,Very political,Somewhat political,Not at all political,,Very political,,,,8,2,No.,Weak Republican,,,25 to 34 years old,Male,,Texas,,43049,
7/25/2022 20:32,7/25/2022 20:48,IP Address,98.127.137.72,100,935,TRUE,7/25/2022 20:48,R_3ql3APIqrSZoMgw,,,,,46.6099,-112.0244,anonymous,EN,Somewhat political,Very political,Not at all political,Slightly Political,Somewhat political,Not at all political,Not at all political,5,Equally by human activity and natural causes,Extremely political,Slightly political,Somewhat political,Slightly political,Slightly political,,,,,,Somewhat political,Slightly political,Not at all political,,Slightly political,,,3,0,"one of them was just a red screen other than the text, other than that no",Independent,,,45 to 54 years old,Male,,Montana,,38707,
7/28/2022 1:20,7/28/2022 1:24,IP Address,73.189.186.35,100,242,TRUE,7/28/2022 1:24,R_C8iywHAd2k8LAid,,,,,37.3372,-121.798,anonymous,EN,Very political,Extremely political,Somewhat political,Slightly Political,Slightly political,Not at all political,Not at all political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,Extremely political,,,Extremely political,,,Extremely political,,Not at all political,Extremely political,,Not at all political,,Very political,,Extremely political,Very  political,0,1,no,Independent,,,35 to 44 years old,Male,,California,,93047,
7/28/2022 1:24,7/28/2022 1:28,IP Address,24.235.91.217,100,240,TRUE,7/28/2022 1:28,R_3hxy868OSorxt7L,,,,,39.6614,-77.6915,anonymous,EN,Extremely political,Extremely political,Somewhat political,Slightly Political,Very political,Slightly political,Slightly political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,Extremely political,Slightly political,Extremely political,,Extremely political,,Extremely political,Extremely political,Not at all political,Extremely political,,,,Extremely political,,,,0,7,No.,Strong Democrat,,,25 to 34 years old,Male,,Maryland,,28121,
7/28/2022 1:26,7/28/2022 1:33,IP Address,72.90.144.6,100,423,TRUE,7/28/2022 1:33,R_1riDi3zfpzWr5QK,,,,,40.6357,-74.2527,anonymous,EN,Extremely political,Somewhat political,Extremely political,Slightly Political,Very political,Somewhat political,Slightly political,2,Mostly by human activity,,,Extremely political,,Somewhat political,,Somewhat political,Somewhat political,Not at all political,,Not at all political,Not at all political,,Somewhat political,Not at all political,,,0,8,No,Independent,,,55 to 64 years old,Female,,New Jersey,,30958,
7/28/2022 1:28,7/28/2022 1:35,IP Address,73.167.18.130,100,379,TRUE,7/28/2022 1:35,R_AsY7QQuXco3ueY1,,,,,41.5695,-72.344,anonymous,EN,Extremely political,Extremely political,Slightly political,Slightly Political,Somewhat political,Somewhat political,Slightly political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,,Slightly political,Not at all political,Slightly political,Slightly political,Not at all political,Extremely political,,,Somewhat political,,Slightly political,,,Not at all political,,,8,1,Seemed like normal ads that I see all the time.,Independent,,,35 to 44 years old,Male,,Connecticut,,87797,
7/28/2022 1:31,7/28/2022 1:39,IP Address,108.201.15.80,100,438,TRUE,7/28/2022 1:39,R_1KqIVv0hQnvLGFG,,,,,39.7184,-82.6073,anonymous,EN,Somewhat political,Very political,Somewhat political,Slightly Political,Slightly political,Not at all political,Not at all political,3,Mostly by human activity,Extremely political,,,Somewhat political,,Not at all political,Very political,Somewhat political,,,Somewhat political,,Not at all political,,Not at all political,Very  political,,0,6,No,Strong Democrat,,,65 to 74 years old,Female,,Ohio,,34859,
7/28/2022 1:39,7/28/2022 1:46,IP Address,108.5.171.131,100,386,TRUE,7/28/2022 1:46,R_SDgWlqJidp3q5EZ,,,,,41.0817,-74.1863,anonymous,EN,Very political,Very political,Somewhat political,Slightly Political,Very political,Somewhat political,Slightly political,3,Equally by human activity and natural causes,Very political,,Somewhat political,Extremely political,,,Extremely political,Somewhat political,Not at all political,,Somewhat political,Slightly political,,,,,Slightly political,0,6,no,Independent,,,35 to 44 years old,Female,,New Jersey,,81514,
7/28/2022 2:00,7/28/2022 2:03,IP Address,47.196.96.154,100,210,TRUE,7/28/2022 2:03,R_vesBWdlXUtsdZGF,,,,,27.9032,-82.2911,anonymous,EN,Somewhat political,Extremely political,Not at all political,Slightly Political,Very political,Not at all political,Not at all political,4,Mostly by human activity,,,,Extremely political,Slightly political,Not at all political,,Not at all political,Very political,Not at all political,,,Not at all political,,Not at all political,,Somewhat political,0,1,No,Independent,,,35 to 44 years old,Male,,Florida,,31632,
7/28/2022 1:58,7/28/2022 2:08,IP Address,97.90.132.128,100,556,TRUE,7/28/2022 2:08,R_1BPLev31s0OvBP8,,,,,34.0899,-118.0871,anonymous,EN,Extremely political,Very political,Very political,Slightly Political,Very political,Somewhat political,Very political,3,Mostly by human activity,,Extremely political,,,,Somewhat political,,Extremely political,Slightly political,,Extremely political,Somewhat political,,Extremely political,Slightly political,Extremely political,,1,4,No,Weak Democrat,,,25 to 34 years old,Female,,California,,20441,
7/28/2022 2:07,7/28/2022 2:14,IP Address,35.136.195.181,100,383,TRUE,7/28/2022 2:14,R_2D8Q6gX2ctgda6r,,,,,28.9284,-82.4921,anonymous,EN,Very political,Very political,Slightly political,Slightly Political,Slightly political,Not at all political,Not at all political,5,Mostly by natural causes,Extremely political,,Extremely political,,,,Extremely political,Extremely political,Not at all political,,Not at all political,Not at all political,,Very political,Not at all political,,,2,0,no,Independent,,,45 to 54 years old,Male,,Florida,,54488,
7/28/2022 2:13,7/28/2022 2:18,IP Address,67.160.69.81,100,283,TRUE,7/28/2022 2:18,R_1MX5AOmo4ynnUAa,,,,,47.3236,-122.3187,anonymous,EN,Extremely political,Extremely political,Very political,Slightly Political,Very political,Very political,Very political,4,Equally by human activity and natural causes,Extremely political,,Very political,Very political,Very political,,,Very political,Not at all political,Extremely political,Extremely political,,,Extremely political,,,,0,4,Nothing that I could think of. I don't really believe the Trump coloring book.,Weak Democrat,,,25 to 34 years old,Male,,Washington,I am more on the Democratic side,65744,
7/28/2022 2:37,7/28/2022 2:47,IP Address,24.166.208.62,100,573,TRUE,7/28/2022 2:47,R_3e8FnO4F2g8zq0x,,,,,37.019,-86.4537,anonymous,EN,Not at all political,Extremely political,Not at all political,Slightly Political,Extremely political,Extremely political,Somewhat political,7. No regulation because it will not work and will cost jobs,Mostly by natural causes,,,,Extremely political,Somewhat political,Very political,,,,Extremely political,Very political,,Not at all political,Extremely political,Not at all political,Very  political,,10,0,no,Strong Republican,,Republican Party,35 to 44 years old,Female,,Kentucky,,85587,
7/28/2022 2:27,7/28/2022 2:48,IP Address,71.81.227.104,100,1212,TRUE,7/28/2022 2:48,R_2uwH8bRZ2Y8pjOn,,,,,34.7927,-82.5839,anonymous,EN,Somewhat political,Extremely political,Very political,Slightly Political,Not at all political,Not at all political,Not at all political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,Extremely political,Slightly political,,Extremely political,,,Very political,Not at all political,,Slightly political,,Not at all political,,Extremely political,,,Somewhat political,0,4,nothing unusual ,Strong Democrat,,,35 to 44 years old,Male,,South Carolina,,72576,
7/28/2022 2:29,7/28/2022 2:50,IP Address,212.221.15.99,100,1211,TRUE,7/28/2022 2:50,R_PCnnY3rzFvdIsjD,,,,,47.1449,8.1551,anonymous,EN,Very political,Extremely political,Very political,Slightly Political,Very political,Slightly political,Slightly political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,,Slightly political,Very political,Very political,,Very political,Extremely political,Extremely political,,Very political,,,,Extremely political,,Extremely political,,0,5,THey seemed fake? ,Strong Democrat,,,25 to 34 years old,Male,,Texas,,58591,
7/28/2022 3:07,7/28/2022 3:10,IP Address,73.150.139.175,100,183,TRUE,7/28/2022 3:10,R_22ofH8E0dvSFrvM,,,,,40.2669,-74.6511,anonymous,EN,Extremely political,Extremely political,Very political,Slightly Political,Very political,Somewhat political,Very political,3,Mostly by human activity,Extremely political,Slightly political,,Extremely political,,Somewhat political,,,Not at all political,,,Slightly political,,Extremely political,Slightly political,Extremely political,,0,6,No.,Weak Democrat,,,35 to 44 years old,Male,,New Jersey,,13481,
7/28/2022 3:03,7/28/2022 3:11,IP Address,24.236.88.53,100,503,TRUE,7/28/2022 3:11,R_1Qgy2fCSJUhl0Kt,,,,,27.7889,-82.7192,anonymous,EN,Somewhat political,Very political,Slightly political,Slightly Political,Slightly political,Not at all political,Slightly political,5,Equally by human activity and natural causes,,Slightly political,Slightly political,,Somewhat political,Somewhat political,,,,Very political,,Slightly political,Not at all political,,,Extremely political,Somewhat political,3,1,not that i noticed,Independent,,,25 to 34 years old,Male,,Florida,,87742,
7/28/2022 3:03,7/28/2022 3:15,IP Address,24.240.68.77,100,764,TRUE,7/28/2022 3:15,R_qVmm3zrkZ6k9bfX,,,,,42.6241,-88.6266,anonymous,EN,Extremely political,Extremely political,Very political,Slightly Political,Very political,Somewhat political,Somewhat political,4,Equally by human activity and natural causes,,,Somewhat political,,,,Extremely political,Very political,Slightly political,,,Somewhat political,Not at all political,,Slightly political,Extremely political,Extremely political,2,2,,Weak Democrat,,,35 to 44 years old,Male,,Wisconsin,,53488,
7/28/2022 3:14,7/28/2022 3:19,IP Address,143.244.48.29,100,303,TRUE,7/28/2022 3:19,R_1mrCUSuRFYxwqfr,,,,,34.0544,-118.2441,anonymous,EN,Very political,Extremely political,Very political,Slightly Political,Very political,Slightly political,Slightly political,5,Mostly by human activity,Extremely political,Slightly political,Slightly political,,Very political,,Extremely political,,Not at all political,Extremely political,Somewhat political,,,,,,Very  political,1,0,no,Independent,,,25 to 34 years old,Male,,California,,61969,
7/28/2022 3:15,7/28/2022 3:20,IP Address,76.122.2.54,100,308,TRUE,7/28/2022 3:20,R_a3gwoOtqRaphddv,,,,,30.161,-81.7311,anonymous,EN,Somewhat political,Somewhat political,Not at all political,Slightly Political,Not at all political,Not at all political,Not at all political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,Extremely political,,,Slightly political,,,Very political,,,Extremely political,,Not at all political,Not at all political,,Not at all political,Extremely political,Slightly political,0,9,Nothing in the ads stood out to be unusual. The tooth whitening ad was just a solid red box but I didn't anything of it.,Strong Democrat,,,45 to 54 years old,Female,,Florida,,43898,
7/28/2022 3:30,7/28/2022 3:36,IP Address,38.34.109.97,100,333,TRUE,7/28/2022 3:36,R_2X68rxoUljpsHye,,,,,38.8924,-77.0757,anonymous,EN,Very political,Very political,Somewhat political,Slightly Political,Somewhat political,Not at all political,Slightly political,3,Mostly by human activity,,Extremely political,,Very political,Somewhat political,Very political,,Somewhat political,,Extremely political,Very political,Not at all political,,,,Very  political,,7,3,No,Weak Republican,,,35 to 44 years old,Male,,Virginia,78743,78743,
7/28/2022 3:29,7/28/2022 3:43,IP Address,136.56.51.55,100,859,TRUE,7/28/2022 3:43,R_2VxA9VGJYQNyFJ4,,,,,35.8332,-78.8473,anonymous,EN,Very political,Very political,Extremely political,Slightly Political,Extremely political,Slightly political,Not at all political,2,Mostly by natural causes,Extremely political,Slightly political,Somewhat political,Somewhat political,,Slightly political,Extremely political,Extremely political,,Very political,,,,,Not at all political,,,6,0,Nothing in particular really. ,Weak Republican,,,35 to 44 years old,Male,,North Carolina,,69776,
7/28/2022 4:01,7/28/2022 4:06,IP Address,68.11.179.32,100,285,TRUE,7/28/2022 4:06,R_3fJoLVL2ejVf528,,,,,30.1597,-92.0258,anonymous,EN,Extremely political,Extremely political,Slightly political,Slightly Political,Very political,Somewhat political,Slightly political,1. Regulate business to protect the environment and create jobs,Mostly by human activity,,,Slightly political,,Slightly political,,,,Not at all political,,Not at all political,Not at all political,,Very political,Not at all political,Extremely political,Very  political,0,0,no,Independent,,,35 to 44 years old,Male,,Louisiana,,50248,
7/28/2022 3:58,7/28/2022 4:06,IP Address,24.198.163.225,100,503,TRUE,7/28/2022 4:06,R_2CZKUNaRqSvK6dR,,,,,44.3233,-69.7687,anonymous,EN,Very political,Very political,Somewhat political,Slightly Political,Somewhat political,Somewhat political,Slightly political,4,Equally by human activity and natural causes,Very political,Very political,,Extremely political,,Slightly political,Very political,Somewhat political,,Somewhat political,,,,,,Somewhat political,Very  political,6,1,not really,Weak Republican,,,55 to 64 years old,Male,,Maine,thank you,44807,
7/28/2022 4:00,7/28/2022 4:11,IP Address,216.81.94.70,100,646,TRUE,7/28/2022 4:11,R_2xXZNylVbNGiyCC,,,,,37.751,-97.822,anonymous,EN,Very political,Extremely political,Very political,Slightly Political,Very political,Not at all political,Slightly political,7. No regulation because it will not work and will cost jobs,Mostly by natural causes,,,,Extremely political,,Somewhat political,Very political,Not at all political,Not at all political,,,,Not at all political,Very political,Not at all political,Extremely political,,4,1,No,Weak Republican,,,35 to 44 years old,Male,,Virginia,,27242,
7/28/2022 4:06,7/28/2022 4:16,IP Address,216.164.112.118,100,591,TRUE,7/28/2022 4:16,R_yjCwL3S2d0UoQQp,,,,,40.6543,-75.5034,anonymous,EN,Slightly political,Extremely political,Not at all political,Slightly Political,Somewhat political,Not at all political,Not at all political,5,Mostly by natural causes,Extremely political,Slightly political,,Extremely political,,Not at all political,,,Not at all political,,,Not at all political,,Extremely political,Not at all political,Extremely political,,10,0,"It seemed like a lot f fake propaganda, especially the crazy ""faces extinction"" one that was blatantly race-baiting and far leftist misinformation.",Strong Republican,,Republican Party,35 to 44 years old,Male,,Pennsylvania,,87860,
